filename,description
170201_NB501807_0021_AHWCYVBGXY_R1.fastq.gz,blood1
170620_NB501673_0150_AH2W2CBGX3_R1.fastq.gz,blood2
171219_NB501673_0219_AH3NT7BGX5_R1.fastq.gz,blood3
